time	V(p2)	V(c5_ic)	V(reset)	V(vosc)	V(p1)	V(vout)	V(sam)
Step Information: Cin=1µ  (Run: 1/3)
3.935008962815085e-06	0.000000e+00	-1.474645e-13	5.000000e+00	5.061805e+00	0.000000e+00	-2.358384e-20	0.000000e+00
4.488000000000612e-06	0.000000e+00	-1.750685e-13	5.000000e+00	5.070488e+00	0.000000e+00	-3.246955e-20	0.000000e+00
5.000999999999999e-06	0.000000e+00	-2.008415e-13	5.000000e+00	5.078543e+00	0.000000e+00	-4.205670e-20	0.000000e+00
5.001999999999999e-06	0.000000e+00	-2.008923e-13	0.000000e+00	5.078558e+00	0.000000e+00	-4.207671e-20	0.000000e+00
1.000000000000000e-05	0.000000e+00	-2.091120e-12	0.000000e+00	5.156976e+00	0.000000e+00	-5.592256e-19	0.000000e+00
1.000018950062313e-05	0.000000e+00	-2.091217e-12	0.000000e+00	5.156979e+00	9.475031e-01	-5.592651e-19	0.000000e+00
1.000023222148739e-05	0.000000e+00	-2.091238e-12	0.000000e+00	5.156980e+00	1.161107e+00	-5.592740e-19	0.000000e+00
1.000025942487860e-05	0.000000e+00	-2.091252e-12	0.000000e+00	5.156981e+00	1.297124e+00	-5.592797e-19	0.000000e+00
1.000028396369005e-05	0.000000e+00	-2.091265e-12	0.000000e+00	5.156981e+00	1.419818e+00	-5.592848e-19	0.000000e+00
1.000100000000000e-05	0.000000e+00	-2.093960e-12	0.000000e+00	5.156992e+00	5.000000e+00	-5.594339e-19	0.000000e+00
1.000868946248345e-05	0.000000e+00	-5.603172e-12	0.000000e+00	5.157113e+00	5.000000e+00	-5.611728e-19	0.000000e+00
1.002302781462768e-05	0.000000e+00	-5.408513e-11	0.000000e+00	5.157337e+00	5.000000e+00	-5.751871e-19	0.000000e+00
1.004696424227388e-05	0.000000e+00	-3.443364e-10	0.000000e+00	5.157712e+00	5.000000e+00	-8.521085e-19	0.000000e+00
1.007189216673148e-05	0.000000e+00	-9.970180e-10	0.000000e+00	5.158103e+00	5.000000e+00	-2.403970e-18	0.000000e+00
1.012174801564668e-05	0.000000e+00	-3.395367e-09	0.000000e+00	5.158885e+00	5.000000e+00	-1.504347e-17	0.000000e+00
1.022145971347708e-05	0.000000e+00	-1.206550e-08	0.000000e+00	5.160448e+00	5.000000e+00	-1.114842e-16	0.000000e+00
1.040860495920786e-05	0.000000e+00	-3.880466e-08	0.000000e+00	5.163382e+00	5.000000e+00	-6.424545e-16	0.000000e+00
1.065721000507023e-05	0.000000e+00	-9.222795e-08	0.000000e+00	5.167278e+00	5.000000e+00	-2.459446e-15	0.000000e+00
1.103473525217913e-05	0.000000e+00	-2.034831e-07	0.000000e+00	5.173194e+00	5.000000e+00	-8.560467e-15	0.000000e+00
1.153383529728946e-05	0.000000e+00	-3.887041e-07	0.000000e+00	5.181014e+00	5.000000e+00	-2.470977e-14	0.000000e+00
1.226014264153985e-05	0.000000e+00	-7.041334e-07	0.000000e+00	5.192390e+00	5.000000e+00	-6.641201e-14	0.000000e+00
1.308590724835504e-05	0.000000e+00	-1.098698e-06	0.000000e+00	5.205319e+00	5.000000e+00	-1.438666e-13	0.000000e+00
1.417576106983229e-05	0.000000e+00	-1.647954e-06	0.000000e+00	5.222375e+00	5.000000e+00	-2.997409e-13	0.000000e+00
1.551701961180194e-05	0.000000e+00	-2.341261e-06	0.000000e+00	5.243349e+00	5.000000e+00	-5.811820e-13	0.000000e+00
1.747014461180194e-05	0.000000e+00	-3.363511e-06	0.000000e+00	5.273859e+00	5.000000e+00	-1.152236e-12	0.000000e+00
1.942326961180194e-05	0.000000e+00	-4.393123e-06	0.000000e+00	5.304332e+00	5.000000e+00	-1.908081e-12	0.000000e+00
4.481389461180196e-05	0.000000e+00	-1.831961e-05	0.000000e+00	5.694644e+00	5.000000e+00	-3.051161e-11	0.000000e+00
5.500000000000000e-05	0.000000e+00	-2.418107e-05	0.000000e+00	5.846845e+00	5.000000e+00	-5.208038e-11	0.000000e+00
5.533364926708118e-05	0.000000e+00	-2.437577e-05	0.000000e+00	5.851773e+00	5.000000e+00	-5.289192e-11	0.000000e+00
5.577851495652276e-05	0.000000e+00	-2.463569e-05	0.000000e+00	5.858337e+00	5.000000e+00	-5.398602e-11	0.000000e+00
5.666824633540591e-05	0.000000e+00	-2.515653e-05	0.000000e+00	5.871441e+00	5.000000e+00	-5.621469e-11	0.000000e+00
5.822753724223372e-05	0.000000e+00	-2.607100e-05	0.000000e+00	5.894368e+00	5.000000e+00	-6.018688e-11	0.000000e+00
5.834753724223398e-05	0.000000e+00	-2.614157e-05	0.000000e+00	5.896128e+00	5.000000e+00	-6.050016e-11	0.000000e+00
5.847553724223426e-05	0.000000e+00	-2.621687e-05	0.000000e+00	5.898005e+00	5.000000e+00	-6.083550e-11	0.000000e+00
5.873153724223482e-05	0.000000e+00	-2.636756e-05	0.000000e+00	5.901755e+00	5.000000e+00	-6.150978e-11	0.000000e+00
5.924653724223595e-05	0.000000e+00	-2.667087e-05	0.000000e+00	5.909297e+00	5.000000e+00	-6.287311e-11	0.000000e+00
5.930653724223608e-05	0.000000e+00	-2.670624e-05	0.000000e+00	5.910175e+00	5.000000e+00	-6.303321e-11	0.000000e+00
5.937053724223622e-05	0.000000e+00	-2.674398e-05	0.000000e+00	5.911111e+00	5.000000e+00	-6.320428e-11	0.000000e+00
5.949853724223650e-05	0.000000e+00	-2.681947e-05	0.000000e+00	5.912982e+00	5.000000e+00	-6.354733e-11	0.000000e+00
5.975453724223706e-05	0.000000e+00	-2.697050e-05	0.000000e+00	5.916725e+00	5.000000e+00	-6.423512e-11	0.000000e+00
5.975753724223707e-05	0.000000e+00	-2.697227e-05	0.000000e+00	5.916769e+00	5.000000e+00	-6.424321e-11	0.000000e+00
5.976153724223708e-05	0.000000e+00	-2.697463e-05	0.000000e+00	5.916828e+00	5.000000e+00	-6.425399e-11	0.000000e+00
5.976953724223710e-05	0.000000e+00	-2.697935e-05	0.000000e+00	5.916945e+00	5.000000e+00	-6.427556e-11	0.000000e+00
5.978553724223713e-05	0.000000e+00	-2.698880e-05	0.000000e+00	5.917178e+00	5.000000e+00	-6.431873e-11	0.000000e+00
5.981753724223720e-05	0.000000e+00	-2.700768e-05	0.000000e+00	5.917646e+00	5.000000e+00	-6.440512e-11	0.000000e+00
5.988253724223734e-05	0.000000e+00	-2.704605e-05	0.000000e+00	5.918596e+00	5.000000e+00	-6.458070e-11	0.000000e+00
5.989653724223738e-05	0.000000e+00	-2.705432e-05	0.000000e+00	5.918800e+00	5.000000e+00	-6.461856e-11	0.000000e+00
5.991253724223741e-05	0.000000e+00	-2.706376e-05	0.000000e+00	5.919034e+00	5.000000e+00	-6.466185e-11	0.000000e+00
5.994753724223749e-05	0.000000e+00	-2.708443e-05	0.000000e+00	5.919545e+00	5.000000e+00	-6.475656e-11	0.000000e+00
5.995953724223751e-05	0.000000e+00	-2.709152e-05	0.000000e+00	5.919720e+00	5.000000e+00	-6.478906e-11	0.000000e+00
5.997853724223755e-05	0.000000e+00	-2.710273e-05	0.000000e+00	5.919998e+00	5.000000e+00	-6.484052e-11	0.000000e+00
6.000000000000000e-05	0.000000e+00	-2.711541e-05	0.000000e+00	5.920311e+00	5.000000e+00	-6.489869e-11	0.000000e+00
6.000010000000000e-05	5.000000e-01	-2.711547e-05	0.000000e+00	5.920313e+00	5.000000e+00	-6.489896e-11	0.000000e+00
6.000021857257032e-05	1.092863e+00	-2.715936e-05	0.000000e+00	5.920315e+00	5.000000e+00	-6.489928e-11	0.000000e+00
6.000026635504168e-05	1.331775e+00	-2.736888e-05	0.000000e+00	5.920315e+00	5.000000e+00	-6.489941e-11	0.000000e+00
6.000031247289515e-05	1.562364e+00	-2.803777e-05	0.000000e+00	5.920316e+00	5.000000e+00	-6.489954e-11	0.000000e+00
6.000080383098403e-05	4.019155e+00	-8.303251e-05	0.000000e+00	5.920323e+00	5.000000e+00	-6.490088e-11	0.000000e+00
6.000100000000000e-05	5.000000e+00	-1.292068e-04	0.000000e+00	5.920326e+00	5.000000e+00	-6.490143e-11	0.000000e+00
6.000132274692066e-05	5.000000e+00	-2.396652e-04	0.000000e+00	5.920331e+00	3.386265e+00	-6.490242e-11	0.000000e+00
6.000165590503230e-05	5.000000e+00	-3.914236e-04	0.000000e+00	5.920336e+00	1.720475e+00	-6.490362e-11	0.000000e+00
6.000200000000001e-05	5.000000e+00	-5.728304e-04	0.000000e+00	5.920341e+00	0.000000e+00	-6.490500e-11	0.000000e+00
6.000224086647740e-05	5.000000e+00	-7.333170e-04	0.000000e+00	5.920344e+00	0.000000e+00	-6.490629e-11	0.000000e+00
6.000251614245156e-05	5.000000e+00	-9.450706e-04	0.000000e+00	5.920348e+00	0.000000e+00	-6.490820e-11	0.000000e+00
6.000306669439988e-05	5.000000e+00	-1.456875e-03	0.000000e+00	5.920356e+00	0.000000e+00	-6.491434e-11	0.000000e+00
6.000416779829653e-05	5.000000e+00	-2.811488e-03	0.000000e+00	5.920372e+00	0.000000e+00	-6.494384e-11	0.000000e+00
6.000637000608982e-05	5.000000e+00	-6.688180e-03	0.000000e+00	5.920404e+00	0.000000e+00	-6.515616e-11	0.000000e+00
6.001077442167641e-05	5.000000e+00	-1.762406e-02	0.000000e+00	5.920469e+00	0.000000e+00	-6.651901e-11	0.000000e+00
6.001639860720709e-05	5.000000e+00	-3.636345e-02	0.000000e+00	5.920551e+00	0.000000e+00	-7.177860e-11	0.000000e+00
6.002485905782213e-05	5.000000e+00	-7.153895e-02	0.000000e+00	5.920674e+00	0.000000e+00	-9.174173e-11	0.000000e+00
6.003536389645915e-05	5.000000e+00	-1.218265e-01	0.000000e+00	5.920828e+00	0.000000e+00	-1.446806e-10	0.000000e+00
6.004779986922791e-05	5.000000e+00	-1.864627e-01	0.000000e+00	5.921010e+00	0.000000e+00	-2.651030e-10	0.000000e+00
6.006482357002737e-05	5.000000e+00	-2.781100e-01	0.000000e+00	5.921258e+00	0.000000e+00	-5.598672e-10	0.000000e+00
